,work_id,user_id,title,rating,summary,language,words,comments,kudos,bookmarks,hits,completed,chapters_written,chapters_total,datetime_updated
12,work_1651109,user-149808,Text Talk,Not Rated,"Sirius is in boarding school, Remus is in hospital, and they don't know each other until Sirius texts the wrong number.",English,141250,3234,33904,8254,759567,True,14,14,2015-12-31
13,work_15087428,user-2029570,Harry Potter and the Greatest Show,Mature,The last real thing Harry remembers is standing across from Voldemort and watching the killing curse fly at his face.,English,177701,6565,32447,10260,876100,False,25,,2022-07-26
14,work_1439476,user-6004,An Issue of Consequence,Explicit,Draco has woken up in an alternate universe. Or he has woken up utterly insane. Nothing else can possibly explain why Harry Potter suddenly seems to think he's Draco's boyfriend.,English,20798,656,32396,5644,496341,True,5,5,2014-04-15
15,work_15153092,user-3861138,All You Want,Explicit,"Eighth Year at Hogwarts was supposed to be Hermione’s. And it is, just not in the way she expects. Omegaverse fic.",English,172650,5802,32239,7602,1144868,True,36,36,2019-04-08
16,work_16138103,user-47258,you've got the antidote for me,Mature,"When Harry Potter unintentionally severs their soulbond before it can fully form, Draco Malfoy resigns himself to a slow death and decides not to burden Harry with a soulmate he's made it very clear he doesn't want.",English,20730,1123,32133,8969,310542,True,1,1,2018-09-30
17,work_5684710,user-88480,punch-drunk fingerprints,Teen And Up Audiences,"In a world where every touch of a soulmate leaves a temporary heat mark on bare skin, Draco Malfoy suddenly finds his life devolving into a massive cliche because the Boy Who Lived Twice has no idea how to respect the personal space bubble.",English,1983,324,31737,3040,256397,True,1,1,2016-01-10
18,work_22230682,user-223039,The Darkening of Your Soul,Mature,Harry is betrayed. Harry gets a second chance to do it all over again.,English,249434,8146,31174,8929,1059787,False,54,,2022-09-30
19,work_6614155,user-55517,Full circle,Not Rated,(aka 'how to survive endless rebirth with your so-called soulmate'),English,67460,5054,30650,9392,478369,False,27,,2019-01-31
20,work_16052816,user-7388,Away Childish Things,Teen And Up Audiences,Harry gets de-aged.  Malfoy has to help him.,English,153881,5071,30646,10283,517072,True,13,13,2018-11-07
21,work_4701869,user-103410,Oh God Not Again!,General Audiences,"So maybe everything didn't work out perfectly for Harry. Still, most of his friends survived, he'd gotten married, and was about to become a father. If only he'd have stayed away from the Veil, he wouldn't have had to go back and do everything AGAIN.",English,150710,4115,30527,8350,1005478,True,50,50,2015-09-01
22,work_1319809,user-258757,"The Electric Fizzing Prick Pistols, or Whatever",Teen And Up Audiences,"Everyone is born with Words on their arm that connect them to their Soulmate. James finds his, Sirius had everything figured out back in First Year, Peter doesn’t talk to girls anyway, and Remus thinks he’d very much just like to put his earmuffs back on and disappear.",English,3816,455,29932,3316,264336,True,1,1,2013-08-01
23,work_3178065,user-248160,Right Hand Red,Explicit,"Harry felt Malfoy's breath on his lips as they came together over the bottle, hands firmly planted on the floor as though they each needed their familiar soil, refusing to cross into enemy territory. Except that Malfoy no longer felt like his enemy. ",English,73173,2109,29674,8220,586186,True,3,3,2015-01-31
24,work_7548181,user-8,Slithering,Explicit,"Draco found the nest down in the Manor’s cellars, while he was clearing them out.",English,27355,951,29473,7829,358586,True,1,1,2016-07-21
25,work_1704125,user-6004,Dangerous,Explicit,"Being trapped in a dungeon with Malfoy — who's a werewolf, a former Death Eater, and a giant git — is definitely dangerous. Harry has no reason to be excited. None at all.",English,6342,232,28897,3456,371058,True,1,1,2014-05-28
26,work_787368,user-56490,"Hey, Potter",Mature,"Harry returns to Hogwarts for his 8th year, determined not to let Malfoy get to him. But when the snarky teasing starts up again, Harry finds that returning the jibes with compliments has a far more interesting outcome.",English,16024,371,28734,4493,305693,True,1,1,2013-05-06
27,work_10404927,user-1578010,Harry Potter and the Shadowed Light,Mature,"After the final battle Harry learns some unsettling truths about himself and those who he trusts the most. Forced to come to terms with the revelations, Harry decides to get even with those who've wronged him and embrace who he his by going back to when it all started.",English,264177,3979,28446,8517,944564,False,45,,2022-08-16
28,work_4148136,user-2268074,Of Wizards and Heroes,Teen And Up Audiences,"Centuries after that fatal day of the battle of Hogwarts, Harry Potter has fallen into legend, a bedtime story parents tell their children, a name whispered around campfires. He wanders the world alone and immortal, until one single reckless moment sends him hurtling into a parallel dimension of heroes and villains. A new enemy arises from an ancient power, and Harry must take a stand as the last wizard to protect this new world. If only SHIELD would stop trying to track him down...and someone could explain what the hell was an 'Avenger' was supposed to be. Honestly, muggles...",English,92317,2290,26677,8321,577838,True,22,22,2016-01-04
29,work_8909155,user-194104,Lumos,Explicit,Harry never expected to spend eighth year listening to Draco Malfoy wanking.,English,41476,963,26050,5880,416569,True,1,1,2016-12-26
30,work_9065263,user-2680,Written on the Heart,Explicit,"Harry doesn’t mind that so many Slytherins from his year have returned to finish their NEWTs, really he doesn’t. It’s just – do they have to be so friendly? He’s not prejudiced, really he’s not. It’s just – they’ve got to be up to something, right? Unnerved by the attention he’s attracting from everyone – the Slytherins are the least of it, to be fair – and struggling with a raft of changes to Hogwarts itself, Harry wishes he could be happy that one constant remains: Draco Malfoy really fucking hates him.",English,113984,2043,25489,6507,433695,True,20,20,2016-12-31
31,work_1049966,user-15037,Azoth,Explicit,"Now that Harry is back at Hogwarts with Hermione for eighth year, he realises that something’s missing from his life, and it either has to do with Ron, his boggart, Snape, or Malfoy. Furthermore, what, exactly, does it mean when one’s life is defined by the desire to simultaneously impress and annoy a portrait? Harry has no idea; he’s too busy trying not to be in love with Malfoy to care.",English,88722,2907,25199,8812,550676,True,14,14,2013-12-12
32,work_26453452,user-4320963,Don't Look Back,Explicit,"It’s the smell of it. Chemical. Bitter and sharp as a raw edge on metal. Just a hint of it as she passes him at breakfast — but enough to stop her dead, mid-step. ",English,176552,8477,25118,5783,1271358,False,43,60,2022-11-03
33,work_7769080,user-26991,Don't Fuck With Florists (They'll Fuck You Up),Teen And Up Audiences,"Unsatisfied with his post-war life, Harry decides to get to the root of all of his problems when that root was still working at Borgin and Burkes shop in the late 40s. He’s the Master of Death, damn it, he can do what he wants for once in his life.",English,13944,770,25059,5952,217382,True,1,1,2016-08-14
34,work_32850244,user-3861138,Let The Dark In,Mature,"In a world where the rise of Voldemort never occurred, Wizarding society has found new ways to repress and exclude those they consider outsiders. Hermione Granger attends Hogwarts as one of the few Muggle-born students. Despite her efforts to make a place for herself, her future seems set in stone until Sixth Year, when the Triwizard Tournament is announced and everything begins to change.",English,127841,6382,24839,5681,919720,False,25,,2022-11-06
35,work_30170643,user-10428915,Choices,Explicit,"People make mistakes, but they also make choices. It’s important to James, that difference. He does his best not to confuse the two.",English,624187,7630,24192,5407,1233300,True,56,56,2022-06-16
36,work_9794657,user-5529,What We Pretend We Can't See,Mature,"Seven years out from the war, Harry learns the hard truth of old history: it’s never quite as far behind you as you thought.",English,131086,2797,24172,9670,510927,True,14,14,2017-02-19
37,work_6177703,user-8,House Proud,Mature,His house liked Draco Malfoy more than him.,English,23112,1135,24144,7917,348838,True,1,1,2016-03-06
38,work_30856244,user-51893,Lily's Boy,Explicit,"Before his third year of Hogwarts has even begun, Harry faces three whole weeks of unsupervised time in Diagon Alley. In that time he takes a trip to Gringotts - and that changes everything.",English,746386,7698,23813,7559,1153556,True,109,109,2022-01-14
39,work_39760044,user-11756104,Crimson Rivers,Explicit,"Regulus Black was fifteen the first time his name was called at a reaping. He's twenty-five when it happens to him again. A lot has changed in that time, and one of them is that he's ready to do whatever it takes to make it home. Nothing or no one will stop him, not even James Potter. ",English,522042,16118,22911,4172,1254291,False,51,,2022-10-22
40,work_19101535,user-3259101,The Auction,Explicit,"In the wake of the Dark Lord’s triumph over Harry Potter, the defeated must learn their new place. Hermione Granger, former Golden Girl, has been captured and reduced to human chattel. Sold to the highest bidder as the top prize at an auction of Order members and sympathizers, she is thrust into the rabid, waiting hands of the Death Eaters. But despite the horrors of Voldemort’s new world, help—and hope—seem to arise from the most unlikely of places.",English,325702,7392,22903,6239,1430867,True,41,41,2020-12-07
41,work_11270490,user-837596,you belong to me (i belong to you),Not Rated,"
  “What I find absolutely fascinating,” Riddle said, stalking closer, “is you.” He marched forward, backing Harry up until he was pinned to the cool wall of the common room. “Do you know why?”
",English,104006,4416,22655,7771,474472,False,18,,2022-05-02
42,work_34500952,user-10852874,Draco Malfoy and the Mortifying Ordeal of Being in Love,Explicit,Hermione straddles the Muggle and Magical worlds as a medical researcher and Healer about to make a big discovery. Draco is an Auror assigned to protect her from forces unknown – to both of their displeasure. ,English,199644,6930,22465,7312,864530,True,36,36,2022-04-08
43,work_3073562,user-287005,the family evans,Not Rated,"What if, when Petunia Dursley found a little boy on her front doorstep, she took him in? Not into the cupboard under the stairs, not into a twisted childhood of tarnished worth and neglect—what if she took him in?",English,3529,845,22426,4907,181503,True,1,1,2015-01-01
44,work_9174820,user-148079,In Evidence of Magical Theory,Explicit,"When a hex meant for Draco accidentally catches Harry as well, they're forced to learn to understand each other in ways they previously might have thought impossible.",English,43747,1007,22291,5243,336078,True,7,7,2017-01-08
45,work_392041,user-6004,Who Shagged Harry Potter?,Explicit,"One beautiful sunny Sunday the Slytherins wake up after a raunchy night only to discover a very naked Harry Potter sleeping in their dormitory. Naturally, they ask themselves a logical question: Who the hell shagged him?",English,6464,158,22139,2837,287689,True,1,1,2012-04-26
46,work_17361419,user-215966,The Contract,Mature,"The only way Harry can get free of those who wish to use him is to agree to an already made betrothal contract created by Dorea Black-Potter. Will this simple thing change the course of Harry's predestined - at least by Dumbledore - future? Will he remain neutral or will he turn dark after he learns everything Dumbledore's done? Will there be a wedding in future for Rabastan and Harry? Can they have a chance of happiness or will the two Slytherins by nature at least, only presume to use one another? NO UNDERAGE BETWEEN THE MAIN PAIRING!!!!!!!!!!!",English,780183,13464,22127,4618,1378775,False,129,,2022-09-10
47,work_38344720,user-11756104,just lovers (like we were supposed to be),Mature,"Regulus closes his eyes and shakes his head again, looking pained, then he opens them and sighs. ""And your solution to this is me? Pretending to be my boyfriend?"" ",English,321083,6800,22103,5510,1001623,True,24,24,2022-06-05
48,work_25440826,user-7624795,Dripping Fingers,Teen And Up Audiences,When Harry finds Tom Riddle's diary he does not write 'Hello.' He does not write anything at all. He draws. Tom Riddle falls in love with the artwork._________________,English,191370,6621,21664,6362,539214,True,39,39,2022-08-13
49,work_1134255,user-18820,Whispers in Corners,Teen And Up Audiences,Everything started with a stumble - his new life in a new world as well as his surprisingly successful career as a medium.,English,64402,644,20980,7238,290475,True,10,10,2014-01-13
50,work_17946929,user-4786936,Holly Potter and the Midlife Crisis,Teen And Up Audiences,"“The first group I sent over made the Avengers uncomfortable by thanking them constantly and asking for autographs. The next group stole things to sell on ebay. The group after that didn’t even get through the front door because Stark’s security system found something in their background that we missed. The fourth group left traumatized after cleaning out Thor’s room, apparently the god had some beheaded poultry dripping blood into a bowl in there. Then after that every group I’ve left hasn’t lasted more than three days because of some problem or another. I’m pretty sure one of those assholes has made it a game to scare my workers away.”",English,392453,16891,20894,6501,771653,True,80,80,2020-09-16
51,work_27300139,user-65272,that’s the art of getting by,Mature,"“What do you want me to do?” Remus says, tiredly. All he wants is to curl up on his bed. Smoke a pack of cigarettes. Get drunk. He can’t stop looking at Harry. ",English,40459,3858,20687,6618,413457,True,17,17,2021-07-25
52,work_13760487,user-1299,the dogfather,Teen And Up Audiences,"“I’m not a reverse werewolf either,” says the man. “I’m your godfather.”",English,47681,1479,20667,5817,296062,True,4,4,2018-10-04
53,work_11472648,user-3259101,The Right Thing To Do,Explicit,"Hermione felt the pounding in her ears again. She would see him for the first time since the Great Hall, gaunt and stricken at the Slytherin table with his mother clutching his arm. She hadn't meant to look for him. Not in the corridors, not beneath the white sheets of the fallen, not on the way to the Chamber of Secrets with Ron, but she was a stupid girl.",English,174911,4737,20549,6476,851458,True,36,36,2018-04-13
54,work_15370968,user-4320963,Breath Mints / Battle Scars,Explicit,"For a moment, she's almost giddy. Because Draco Malfoy's been ruined by this war and he's as out of place as she is and — yes, he has scars too. He's got an even bigger one. She wonders whether one day they'll compare sizes.",English,148908,4392,20478,6435,807157,True,51,51,2020-10-24
55,work_32897344,user-7563796,The Heir to the House of Prince,Mature," ""So you're adopted?  ",English,648528,10202,20171,5773,914181,True,87,87,2022-05-12
56,work_5937535,user-48008,love is touching souls (surely you touched mine),Mature,"Voldemort is dead.  It's Christmas, and Harry's just opened a gift from Fred and George Weasley.",English,34400,1719,20108,5544,208614,True,8,8,2016-03-07
57,work_24481312,user-2089,Bring Him to His Knees,Explicit,"Draco is on the case of a murderer, but to investigate, he needs a fake relationship - and a kink club play partner. When Hermione volunteers to take the role, both do their best to maintain the lie without letting each other know the truth: neither of them are acting.",English,246526,5572,19788,6470,1273442,True,31,31,2021-06-05
58,work_5366507,user-18820,Spellist,General Audiences,"The new reality had no wizards or magical nations – but it had a whole boatload of powerful and occasionally inept sorcerers. Who were usually semi-public and sometimes very popular in social media. How it worked, Harry had no idea.",English,2483,472,19608,4069,149581,True,1,1,2015-12-06
59,work_8017603,user-53377,Never Grow A Wishbone,Teen And Up Audiences,"She almost smiles, and true alarm starts to build in his chest. “I’m afraid I’m not here for something so small. Professor Roberts has resigned.”",English,123544,3963,19460,5787,335344,True,25,25,2020-05-29
60,work_380233,user-6004,Slammed,General Audiences,Potter develops a worrying habit of randomly wall-slamming Draco all over the castle.,English,2038,199,19380,2252,176314,True,1,1,2012-04-10
61,work_5986366,user-264155,face death in the hope,Mature,"Harry looks vaguely nervous, scratching the back of his neck. “It's a really long story,” he says finally, almost apologetically, “and it's really hard to believe.”",English,268148,7664,19310,6642,681038,False,59,,2020-08-30
62,work_6854605,user-9,The Devil's White Knight,Explicit,"When Harry wakes up in an alternate timeline--a timeline where Voldemort was defeated long before the first war--he discovers everything is different.  His parents, his godfather, his friends--and him.  Harry must deal with the consequences of who he would have been if he had been raised by his parents, and figure out where he stands with his casual hook up, Draco Malfoy.",English,64573,722,19284,5156,338461,True,10,10,2016-06-05
63,work_359705,user-6004,"Draco Malfoy, It's Your Lucky Day",Explicit,"Even though he's unarmed, injured, lost in the Forbidden Forest, and facing a possible murder charge, Draco Malfoy gets lucky.",English,37382,481,19216,4639,317880,True,1,1,2012-03-10
64,work_6239806,user-192807,Stately Homes of Wiltshire,Explicit,"Malfoy Manor has mould, dry rot and an infestation of unusually historical poltergeists. Harry Potter is on the case.",English,57582,1128,19115,6147,291567,True,6,6,2016-05-04
65,work_5987962,user-8,Reparatio,Explicit,"Draco snorted. “I’m not reduced to penury. I want something considerably beyond money, and I rather think you’re the only one can give it to me.” ",English,17363,520,19093,4129,283463,True,1,1,2016-02-13
66,work_319467,user-31607,"The Problem with Eggnog, Uncommon Thoughts, and Sharing a Bed with Sirius Black",Explicit,"In which Sirius is possibly naked, and Remus' mind is not the safest place to be.",English,3011,137,19078,2230,208231,True,1,1,2008-02-18
67,work_17926664,user-4786936,On Punching Gods and Absentee Dads,Teen And Up Audiences,"Harry finds out that his dad is alive, has been the whole time. Instead of being overjoyed, Harry's disgusted. His dad left earth and abandoned his friends. Every painful thing he's ever gone through can be traced back to one man. Now Harry's got super strength he can't control and an almost unnecessary amount of magical power. His dad might be living it up with the Avengers now but not for long. With the help of his friends, Harry comes up with a plan for revenge. Get ready Avengers, Harry's out to punch a god.",English,246843,10602,19036,6909,581151,True,56,56,2020-04-15
68,work_12805206,user-1575622,Harry Potter and the Lack of Lamb Sauce,Teen And Up Audiences,"Inspired by a post on Tumblr, this is a AU story set during Harry's sixth year at Hogwarts, with one big, foul-mouthed difference. Instead of Horace Slughorn, the position of Potions professor will be taken on by...Gordon Ramsay.",English,356700,6865,19031,4674,739888,True,99,99,2019-03-24
69,work_16036310,user-3001752,Soup-pocalypse and The Great Curry Cataclysm,Explicit,"Eleven years after the war, Draco Malfoy leads a quiet, boring, and perfectly respectable life, thanks very much. Or, at least he does, until a sudden and very unexpected veela awakening causes him to throw soup all over Harry Potter in the middle of the Ministry cafeteria.",English,104357,1579,18937,5415,312962,True,15,15,2018-10-19
70,work_4373594,user-1352279,Temptation on the Warfront,Explicit,"Draco Malfoy is forced into hiding with the Golden Trio and dragged into their search for horcruxes. What ensues is a journey of redemption, unexpected friendships and an unwanted, turbulent romance with Harry Potter. Warnings for swearing, sexual content, and dark themes.",English,180305,2194,18925,5827,570167,True,31,31,2015-11-21
71,work_7040089,user-837596,Consuming Shadows,Mature,"
  His attention skipped passed the students and moved to the politicians’ pavilion. His gaze locked with crimson, and he nearly faltered under the sheer hunger in those eyes.
",English,397313,4697,18910,5337,616017,False,57,63,2022-10-16
72,work_1113588,user-18820,Business,Teen And Up Audiences,The Dursleys didn't raise Harry Potter to be a very good boy.,English,12460,597,18881,5115,236338,True,1,1,2014-01-01
73,work_3441362,user-248160,Hung Like a Horntail,Explicit,"Draco's become a bit obsessed with Harry's sizable package. It's a little distracting. Even more so when it's up your arse. (Or ""Harry's Big Dick is messing with Draco's life."" ~Capitu)",English,2353,203,18876,2038,340693,True,1,1,2015-02-26
74,work_496865,user-4316,Little Talks,Explicit,"Draco's been shagging the Head Auror for months now, and he's sure it's just a fling. Until Harry asks him to a Quidditch match, that is, and things go horribly wrong.",English,11351,228,18785,3362,239046,True,1,1,2012-08-27
75,work_5744635,user-8,Timeshare,Mature,"“It’s not for long,” Hermione said. “By the time we get back to Hogwarts, the Unfettering Brew will be ready.”",English,14156,422,18648,2871,230639,True,1,1,2016-01-17
76,work_4308786,user-287005,no place like home,Not Rated,"When Petunia Dursley refused to take Harry in she forfeited his birthright protection, so Dumbledore took the baby to the safest place he knew: Hogwarts.",English,13193,992,18169,4815,178836,True,1,1,2015-07-10
77,work_25010857,user-5310617,Heir Apparent,Explicit,"When a Voldemort in his thirties encounters a time-travelling, seventeen-year-old Harry Potter, he makes a dangerous—and hilarious—assumption. He assumes that Harry is his son. And his son, of course, deserves the very best.",English,53155,6494,18166,5530,437949,False,18,,2022-09-13
78,work_5277644,user-211835,A Convenient Impracticality,Explicit,"Somehow Harry ends up agreeing to a fake relationship with his ex-nemesis-turned-friendly-acquaintance-with-benefits, except for some reason it involves an awful lot of actual dating and, sadly, not much sex. Confused? Harry is too, but when has anything with Draco Malfoy ever been as straightforward as it seems?",English,38540,829,18128,4969,285541,True,1,1,2015-12-01
79,work_3390668,user-82516,C'est La Vie,Teen And Up Audiences,"The war ends on Harry's twenty-first Halloween, and, one year later, with nothing truly holding him in that world, Fate takes this opportunity to toss her favourite hero into a different dimension to repay her debt. A new, stress-free life in exchange for having fulfilled her prophecy. A life where Neville is the Boy-Who-Lived instead, James and Lily are still alive, and that Harry Potter is relatively normal but a downright arse. Dimension-travelling Harry just wants to know why he has no say in the matter. And why he's fourteen again. And why Fate thinks, in all her infinite wisdom, that his hero complex won't eventually kick in. Then again, that might be exactly why Fate dumped him there.",English,102274,1537,18035,6555,462259,False,9,,2015-02-19
80,work_5163386,user-134582,Mental,Mature,"Harry has had quite enough of sharing his mind with someone else, thankyouverymuch. A miscast Legilimecy spell says otherwise.",English,186678,1199,17998,4629,445040,True,32,32,2010-12-23
81,work_284278,user-26991,If Them's the Rules,Mature,"Unable to accept the aftermath of the war, Harry decides to travel back in time to become the parent Tom Riddle obviously should have had. Except that things don't go as planned and Harry finds himself part of a game with hidden rules, trying to survive while raising a boy whose understanding of family has nothing to do with love.",English,219715,3991,17907,4913,532766,False,42,83,2022-01-22
82,work_22818646,user-6757519,Wait and Hope,Mature,"“Harry,” Hermione began, voice very controlled, but she could feel the blade of panic slicing at her vocal cords. “Why was Draco Malfoy just screaming bloody murder about his,” and the word almost strangled her as she said it, “wife?”",English,94946,3367,17802,5976,496728,True,12,12,2020-04-09
83,work_12312867,user-2736428,We're Already Married,Teen And Up Audiences,"""Our whole lives we have always told people that we were married. I knew that it wasn't exactly normal but it was always something that filled me with so much affection for you. I have loved you for so long. Longer than I ever realized."" Harry took a deep breath as he looked into shining silver eyes.",English,3954,472,17729,2588,121272,True,1,1,2017-10-09
84,work_12133914,user-1335021,Embers,Explicit,"Werewolf Alphas aren't meant to be alone, or to suppress their ruts indefinitely like Draco has been since he was bitten eight years ago. He needs company, companionship, to knot ― he needs an Omega Heat Companion. At least, that’s what the Healers say, and even Draco can admit contacting the person they’ve referred him to might be nice.",English,41216,794,17599,3818,264522,True,3,3,2017-10-04
85,work_27964796,user-215966,My Time,Teen And Up Audiences,"Harry Potter finds himself hurtled back through time, landing back to just after World War 2 ended, more accurately, on the doorstep of Grimmauld Place...SLASH, MPREG Orion Black/Harry Potter Death meddles in the Master Of Death's fate once again...he must be awfully bored!",English,250889,6284,17322,3945,686535,False,52,,2022-11-14
86,work_7189349,user-308713,Wear Me Like A Locket Around Your Throat,Teen And Up Audiences,"“This is Mr Riddle, one of our Slytherin prefects. I’m sure he’ll make you feel right at home. Mr Riddle, this is Harrison Peters. He’s just been sorted into Slytherin and will be joining you in sixth year,” Dumbledore announced jovially, though Tom could see that sliver of constant suspicion in his gaze that had never quite faded.“Harry,” the boy hurried to correct. “Just Harry.”And then he stuck his hand out. How… plebeian, Tom noticed with delight. Walburga would probably faint.",English,220149,3147,17302,5255,452364,False,29,,2019-10-19
87,work_825875,user-104018,All Life is Yours to Miss,Mature,"Professor Malfoy's world is contained, controlled, and as solitary as he can make it, but when an act of petty revenge goes horribly awry, he and his trusty six-legged friend are thrown into Hogwarts life at the deep end and must learn to live, love and let go.",English,114741,1293,17223,6134,371939,True,4,4,2013-06-22
88,work_8662435,user-1554475,What Real Thing?,Explicit,"They don’t cuddle, they don’t talk about their relationship (or lack thereof) and they certainly never fall asleep in each other’s arms.",English,12676,631,17048,2670,193951,True,1,1,2016-11-26
89,work_370570,user-6004,In Need of a Proper Hug,Mature,"Draco rescues a poor, poor koala, which won't stop hugging him. Inspired by this pic of DanRad hugging Jack Huston aka Jack Kerouac in Kill Your Darlings, and this comment: ""I've decided that he is part koala, and I think you should write a story where Harry becomes an Animagus, turns into a koala, and clings constantly to Draco."" Beware of cute. Bring a toothbrush.",English,2086,198,16964,2005,152102,True,1,1,2012-03-28
90,work_22327684,user-48008,draw me after you (let us run),Explicit,"“Harry Potter,” comes the soft, sibilant hiss of a voice he has heard in his dreams, in his nightmares, in his waking hours for years.  ",English,166200,7388,16884,5144,494821,False,37,,2022-10-16
91,work_2160891,user-215966,Embracing His True Self,Mature,Tom Riddle/Harry Potter Slash. What if Harry didn't want to fight Voldemort? What if he was fed up with the light side judging him constantly and wants to be his true self? The Slytherin side that he had squashed in a bid to fit in and be accepted? Realizing he never would...what of the prophecy? Could they overcome it? Will Voldemort even give him a chance?,English,618642,5568,16878,3968,843833,False,114,,2022-10-11
92,work_11678955,user-174068,trapped in a blue haze,Explicit,"“And in that moment, Draco knows. He knows that all his deep-rooted suspicions about Harry’s childhood are terribly, horribly true.”",English,5610,254,16574,2471,171907,True,1,1,2017-08-01
93,work_8879488,user-2693,"Matchmaker, Matchmaker",Teen And Up Audiences,or: five times Theseus set Newt and Percival up in some strange matchmaking scheme and one time Newt actually appreciated it.,English,10514,360,16526,4085,143927,True,1,1,2016-12-18
94,work_26523892,user-77950,Measure Of A Man,Explicit,"To truly know someone is to differentiate between who they once were, who they are now, and who they're capable of being. Hermione realises the duality of one man as she rectifies what she knows of the past and begins to understand the pieces of who Draco Malfoy is now: a father, a son, and a man.",English,590655,6603,16444,6543,1433282,True,42,42,2022-04-22
95,work_987408,user-48507,Stealing Harry,Mature,"In an alternate universe where Sirius Black never went to Azkaban, Harry divides his life between the Dursleys' house and Mr. Black's bookshop -- until Sirius realises what the Dursleys are doing to him, and takes him away from their care.",English,99937,1167,16404,4389,528399,True,11,11,2004-05-01
96,work_14695419,user-3107673,The Historical Importance of Runic War Warding in the British Isles,Explicit,"After losing Sirius at the Department of Mysteries Harry is left abandoned, lost and alone with her uncaring relatives for the summer. She somehow finds herself sharing dreams with Lord Voldemort who quickly discovers that she is his horcrux, changing the terms of the game between them forever. ",English,177468,4982,16200,5852,509725,False,30,,2021-07-31
97,work_2435531,user-35202,A Brother to Basilisks,Mature,"AU of PoA. Harry wakes in the night to a voice calling him from somewhere in the castle—and when he follows it, everything changes. Updated every Friday.",English,613877,5707,16192,4087,700639,True,155,155,2020-08-15
